,Description,UseType
409,"ERECT A 45'-6""X 38'-8"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH 1564 SQ FT LIVING AREA, AND 16 SQ FT OTHER.  BEDROOM WINDOWS, SMOKE DETECTORS, FIREPLACE MUST COMPLY TO CODES. MUST COMPLY WITH STATE ENERGY REPORT. SAN FACILITY IS REQUIRED. MUST MAINTAIN 15' BETWEEN STRUCTURES. ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (3 BEDROOM, 2 BATHROOM)",Residential
410,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
411,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
412,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
413,INSTALL A 27'X12'X8' PATIO COVER OVER AN EXISTING PATIO TO THE REAR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
414,ALTERATIONS/GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
415,"INSTALL 72"" X 18"" SINGLE FACED 9 SF CABINET UL LISTED LED DS CABINET SIGN.  UL NUMBERS HR192864.  BOARD OF ADJUSTMENTS APPROVED AN INTERNALLY LIT BLADE SIGN BD-2018-030",Commercial
416,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
417,"ERECT A 52'5"" X 75'04"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 3259 SF TOTAL, 2356 SF LIVING AREA, GARAGE 695 SF, OTHER 208 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SAN FAC REQ PER IBC. ENERGY CERT REQ.  TO MEET ALL APPLICABLE CODES. (4BR/3BATHS)",Residential
418,CERT OF OCC/BUS LIC INSP FOR HARRIS & ATKINS REAL ESTATE LLC/ OFFICE/ MICHAEL ATKINS/BRANDON HARRIS  334-495-4000 OR 334-318-0570/ WAS OFFICE BEFORE,Commercial
419,REMODELING REPAIR TO THE INTERIOR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
420,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
421,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR A DETAILING AND CAR WASH.  POINT OF CONTACT TIMOTHY MATTHEWS 334-314-1736,Commercial
422,"ERECT A 60'1"" X 48'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2494 SF TOTAL, 1706 SF LIVING AREA, GARAGE 383 SF, STORAGE 65 SF, PORCH 340 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SEPTIC TANK PERMIT ON FILE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Residential
423,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
424,"TO INSTALL 2 (TWO) ILLUMINATED SIGN. ONE (1) ONE FACE – 4’-5” x 27’-3.5” AND ONE (1) PYLON – 6’-1.25” x 16’-2.5”, SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
425,"ERECT A 41'2""X67' TWO STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3261 WITH A LIVING AREA OF 1492 SQ FT, SECOND FLOOR 986 SQ FT, GARAGE 565 SQ FT, AND OTHER 218 SQ FT.  BEDROOM WINDOWS PER CODES.  PRE-FAB FIREPLACE PER CODES.  STAIRS PER CODE. SMOKE DECTECTORS PER CODE. MUST COMPLY WITH STATE ENERGY CODE. SAN FACILITY IS REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.  (4 BEDROOMS, 2.5 BATHS)",Residential
426,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
427,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR APTMENTS WITH 332 UNTS.  POINT OF CONTACT LAQUINTA KING 334-239-7783.,Commercial
428,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
429,ERECT A 74’X 39’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1883 SF (LIVING AREA-1ST FL); 564 SF (LIVING AREA-2ND FL); 473 SF (GARAGE); 285 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (5 BR/3 BATH),Residential
430,GRADING PERMIT TO ERECT A 63’ X 53’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2299 SF (LIVING AREA-1ST FL); 716 SF (GARAGE); 371 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
431,"TO INSTALL 2 (TWO) ILLUMINATED SIGN. ONE (1) ONE FACE – 4’-5” x 27’-3.5” AND ONE (1) PYLON – 6’-1.25” x 16’-2.5”, SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
432,TO INSTALL A NEW DOUBLE WIDE MODULAR/MANUFACTURER HOME. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
433,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
434,ERECT A 90' X 47' ONE STORY BRICK VENEER COMMERCIAL BUILDING TO BE USED FOR OFFICE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. (THIS IS FOR THE SHELL ONLY) ADDITIONAL PERMIT AND PLANS REQUIRED FOR FINISHING. TO MEET ALL APPLICABLE CODES.,Commercial
435,"ERECT A 39'-6"" X 50""-10"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH A TOTAL SQ FT OF 1999 WITH 1525 SQ FT (LIVING AREA); 391 SQ FT (GARAGE) 83 SQ FT (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE.  SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. MUST MAINTAIN 15' BETWEEN STRUCTURES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLCIABLE CODES. (3 BR/2 BATH)",Residential
436,ALTERATIONS TO EXISTING TWO STORY COMMERCIAL BUILDING TO BE USED AS HOTEL WITH 64 UNITS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
437,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOW PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
438,DEMOLISH A DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS 161674 APPROVAL ON FILE.  BOND 427715 ON FILE.  ASBESTOS 10 DAY NOTICE ON FILE.  THIS PERMIT IS GOOD FOR 30 DAYS.  BUILDING INSPECTION IS NEEDED FOR COMPLETION.  TO MEET ALL APPLICABLE CODES.,Residential
439,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
440,"CERT OF OCC/BUS LIC INSP FOR INVESTMENT PROPERTY MAINTENANCE LLC/ BLAKE LAWLEY, MICHAEL ATKINS BRANDON HARRIS/OFFICE/ 334-495-4000 OR 334-303-2379/ WAS USED FOR OFFICE BEFORE",Commercial
441,REPLACE WINDOWS DWELLING TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
442,ENCLOSURE OF AN 15'X16' EXISTING PATIO TO THE REAR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
443,ALTERATIONS TO EXISTING HOTEL LOBBY AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL). A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  HEALTH DEPARTMENT CERTIFICATION REQUIRED. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
444,"INSTALL 1 30"" X 120"" SINGLE FACED WALL MOUNTED ILLUMINATED UL LISTED LED CABINET SIGN FOR FHIIT STOP.  25 TOTAL SF.  EL NUMBERS HR192867",Commercial
445,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
446,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS A MEDICAL COUNSELING AND MANAGEMENT.  POINT OF CONTACT 678-208-3460,Commercial
447,GENERAL REPAIRS TO REPLACE WINDOWS AT EXISTING DWELLING. BEDROOM WINDOWS TO COMPLY WITH ALL APPLICABLE CODES.,Residential
448,CERT OF OCC/BUS LIC INSP FOR WAREHOUSE/PLANT  -  TAEHWAN KOO  1- 334-707-9736,Commercial
449,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
450,"ERECT A 50' X 70'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2420 SF TOTAL, 1835 SF LIVING AREA, GARAGE 438 SF, OTHER 147 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. MAINTAIN 10' BETWEEN STRUCTURES. MUST COMPLY WITH STATE ENERGY CODE. SAN FAC REQ PER IBC. TO MEET ALL APPLICABLE CODES. (3BR/2BATHS)",Residential
451,"REPLACEMENT OF AN ILLUMINATED TWO FACED 4' 7-15/16"" X 9' 1-3/16""  EXISTING READER BOARD TO AN EXISTING COMMERCIAL PROPERTY. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABORATORY OR NRTL.  TO MEET ALL APPLICABLE CODES.",Commercial
452,"ERECT A 28' X 80'5"" TWO STORY BRICK VENEER SINGLE FAMILY WITH 3150 SF TOTAL, 1466 SF 1ST FL, 1177 SF 2ND FL, GARAGE 481 SF, OTHER 26 SF. BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (4BR/3 1/2 BATHS)",Residential
453,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR A MOBILE HOME PARK.  POINT OF CONTACT VINCENT OSBORNE 334-328-8299.,Commercial
454,ERECT A 74’X 39’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1883 SF (LIVING AREA-1ST FL); 564 SF (LIVING AREA-2ND FL); 473 SF (GARAGE); 285 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (5 BR/3 BATH),Residential
455,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
456,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
457,INSTALL DOOR & PLATFORM IN CLASSROOM 2 AND TODDLER ROOM.  TO MEET ALL APPLICABLE CODES.,Commercial
458,"ERECT A 48’ X 24’ TWO STORY BRICK VENEER DETACHED GARAGE WITH 420 1SF FL, 1152 SF 2ND FLOOR LIVING AREA (2BD/2BATHS) AND ALSO DETACHED GARDEN BUILDING WITH 1152 SF. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Residential
459,INSTALL DOOR & PLATFORM IN CLASSROOM 2 AND TODDLER ROOM.  TO MEET ALL APPLICABLE CODES.,Commercial
460,ALTERATION TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF RETAIL.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  A SET OF PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
461,GENERAL RENNOVATION TO AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT. TO MEET ALL APPLICABLE CODES.,Residential
462,LIQ LIC AND BUS LIC FOR A BUSINESS TO BE USED FOR A GAS STATION. POINT OF CONTACT BHAVESH PATEL 334-328-8813.,Commercial
463,GRADING PERMIT TO ERECT A 74’X 39’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1883 SF (LIVING AREA-1ST FL); 564 SF (LIVING AREA-2ND FL); 473 SF (GARAGE); 285 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
464,ERECT A 71’ X 54’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2418 SF (LIVING AREA-1ST FL); 833 SF (GARAGE); 234 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
465,"TO INSTALL (1) 37.5”X37.5” WALL SIGN WITH (1) ONE FACE UL LISTED LED CABINET (INDIVIDUAL CHANNEL LETTER/LOGO); 9.77 TOTAL SQUARE FEET, 37.5” TOTAL HEIGHT; ILLUMINATED & UL# G-53071607; SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
466,TO INSTALL (1) 49 SF ILLUMINATED CHANNEL LETTER WALL SIGN WITH (1) ONE FACE. 36” TOTAL HEIGHT; 49 TOTAL SQUARE FEET; SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.,Commercial
467,REPLACE WINDOWS DWELLING TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
468,REMODELING REPAIR TO THE INTERIOR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
469,GENERAL REPAIRS TO REPLACE ROOFING AND DECKING DUE TO ROTTEN WOOD AT EXISTING DWELLING. TO COMPLY WITH ALL APPLICABLE CODES. WORK TO COMPLETED WITHIN 45 DAYS.,Residential
470,"ERECTING A 25 X 151 SIZED DECK FOR PUBLIC ACCESS.  AREA WILL BE USED AS A POCKET PARK.  ALL FINAL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS.  (ENGINEERING, TRAFFIC ENGINEERING, LANDSCAPE, FIRE DEPARTMENT, BUILDING DEPARTMENT AND  ELECTRICAL DEPARTMENTS.  FEES WAIVED.  REPORTS ARE REQUIRED FOR FOUNDATION/STRUCTURAL WORK BELOW DECK BEFORE PERMIT IS CO'D.",Commercial
471,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
472,ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1445 SF (LIVING AREA-1ST FL); 414 SF (GARAGE); 177 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
473,ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1445 SF (LIVING AREA-1ST FL); 414 SF (GARAGE); 177 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
474,ERECT A 69.4’ X 40’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1790 SF (LIVING AREA-1ST FL); 574 SF (LIVING AREA-2ND FL); 489 SF (GARAGE); 283 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
475,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
476,INSPECT FOR CERTIFICATE OF OCCUPANCY;  ARJO; MICHAEL GILLETTE(865)951-6541;,Commercial
477,ERECT A 90' X 47' ONE STORY BRICK VENEER COMMERCIAL BUILDING TO BE USED FOR OFFICE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. (THIS IS FOR THE SHELL ONLY) ADDITIONAL PERMIT AND PLANS REQUIRED FOR FINISHING. TO MEET ALL APPLICABLE CODES.,Commercial
478,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
479,GENERAL REPAIRS TO REPLACE WINDOWS TO EXISTING COMMERCIAL BUILDING. TO MEET ALL APPLICABLE CODES.,Commercial
480,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
481,ERECT A 56’ X 43’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1651 SF (LIVING AREA-1ST FL); 429.8 SF (GARAGE); 279.2 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
482,"ERECT A 50'X30' DETACHED STEELE STORAGE SHED TO THE REAR OF AN EXISTING DWELLING.  BOARD OF ADJUSTMENT ON FILE FOR THE APPROVAL OF 2,292 SQ FT YARD COVERAGE OF ACCESSORY STRUCTURES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Residential
483,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
484,ERECT A 74’ X 50’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2244 SF (LIVING AREA-1ST FL); 318 SF (LIVING AREA-2ND FL); 480 SF (GARAGE); 186 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/2 BATH),Residential
485,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
486,"ALTERATIONS TO A 6,324 SQ FT EXISTING COMMERCIAL BUILDING TO BE USED AS A DIALYSIS FACILITY.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOBSITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Commercial
487,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
488,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
489,"ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. NEW INTERIOR FRAMING, ELECTRICAL, PLUMBING AND MECHANICAL. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Commercial
490,"ERECT A 41'2""X67' TWO STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3261 WITH A LIVING AREA OF 1492 SQ FT, SECOND FLOOR 986 SQ FT, GARAGE 565 SQ FT, AND OTHER 218 SQ FT.  BEDROOM WINDOWS PER CODES.  PRE-FAB FIREPLACE PER CODES.  STAIRS PER CODE. SMOKE DECTECTORS PER CODE. MUST COMPLY WITH STATE ENERGY CODE. SAN FACILITY IS REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.  (4 BEDROOMS, 2.5 BATHS)",Residential
491,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING. INTENT TO REPAIR APPLICATION REVIEWED BY HOUSING CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
492,"INSTALL A 14' X 30' SWIMMING POOL IN REAR OF EXISTING FAMILY DWELLING.  ALL APPLICABLE DEPARTMENT INSPECTIONS AS REQUIRED. A 44"" FENCE WITH LOCKABLE GATE MUST SURROUND AREA.  ALL APPLICABLE DEPARTMENT INSPECTIONS AS REQUIRED.  MUST COMPLY WITH ALL UTILITY EASEMENTS .  LETTER STATING DIRT WILL REMAIN ON PROPERTY ON FILE.  MEET ALL APPLICABLE CODES.",Residential
493,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
494,RENNOVATION OF AN EXISTING DWELLING DUE TO FIRE DAMAGE. REPLACEMENT OF EXTERIOR WINDOW PER CODE. TRUE DIVIDED LITE WINDOW TO MATCH EXISTING PER HISTORIC REP CHRISTY ANDERSON.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
495,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. CUT 4’ OPENING AT WALL TO ADJACENT EXISTING SPACE. TO BE USED FOR STORAGE. MAINTAIN EXISTS DURING CONSTRUCTION (BY T.S.). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES. HUI DENG WANG (334)833-2529,Commercial
496,INSTALL A 27'X12'X8' PATIO COVER OVER AN EXISTING PATIO TO THE REAR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
497,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
498,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO INSTALL REPLACEMENT WINDOWS. BEDROOM WINDOWS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
499,LOCATE A 64'X48' MOBILE HOME FOR LIVING PURPOSES.  BOARD OF ADJ APROVAL ON FILE.  TIE DOWN INSPECTION WILL BE REQUIRED. NOT IN THE FLOOD ZONE (FLOOD ELEVATION CERTIFICATE ON FILE.. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT.  TO MEET ALL APPLICALBE CODES.,Residential
500,"ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. NEW INTERIOR FRAMING, ELECTRICAL, PLUMBING AND MECHANICAL. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Commercial
501,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
502,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
503,ERECT A 30’X 50’ ONE AND ONE HALF STORY DETACHED GARAGE WITH 1500 SF (GARAGE). THE ACCESSORY STRUCTURE(DETACHED GARAGE) CAN NOT INCLUDE A TOILET/BATHROOM. SINK AND POWER IS APPROVED BY BOARD OF ADJUSTMENT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
504,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
505,RESIDENTIAL ADDITION TO EXISTING DWELLING. ADD 2 ROOMS TOTALING(15'x24')-(1) ONE BED ROOM AND (1) ONE FULL BATH. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
